x,y,z
0.0,0.0,0.0
0.00222086,0.0,0.0663838
0.00800945,0.0,0.125884
0.0162716,0.0,0.17905
0.0261595,0.0,0.226455
0.0370249,0.0,0.268662
0.0483785,0.0,0.306209
0.0598573,0.0,0.339594
0.0711969,0.0,0.369275
0.0822096,0.0,0.395666
0.0927669,0.0,0.419138
0.102786,0.0,0.440022
0.112217,0.0,0.458614
0.121037,0.0,0.475174
0.129241,0.0,0.489934
0.130284,0.0,0.491579
0.131483,0.0,0.493114
0.132826,0.0,0.494525
0.134301,0.0,0.495797
0.135894,0.0,0.496918
0.137589,0.0,0.497878
0.139369,0.0,0.498668
0.141219,0.0,0.499279
0.143119,0.0,0.499706
0.145052,0.0,0.499946
0.147,0.0,0.499994
0.148942,0.0,0.499852
0.161589,0.0,0.498299
0.175501,0.0,0.496591
0.190804,0.0,0.494712
0.207637,0.0,0.492645
0.226154,0.0,0.490372
0.246522,0.0,0.487871
0.268927,0.0,0.48512
0.293572,0.0,0.482094
0.320682,0.0,0.478765
0.350504,0.0,0.475103
0.383307,0.0,0.471076
0.41939,0.0,0.466645
0.459082,0.0,0.461772
0.502743,0.0,0.456411
0.55077,0.0,0.450514
0.6036,0.0,0.444027
0.638042,0.0,0.438427
0.671944,0.0,0.430159
0.705097,0.0,0.419274
0.737302,0.0,0.405839
0.768361,0.0,0.389934
0.798086,0.0,0.371656
0.826296,0.0,0.351118
0.85282,0.0,0.328443
0.877495,0.0,0.30377
0.900173,0.0,0.277248
0.911093,0.0,0.266037
0.924092,0.0,0.257318
0.938608,0.0,0.251468
0.956824,0.0,0.246245
0.975039,0.0,0.241022
0.993254,0.0,0.235798
0.993254,0.0,0.205237
0.993254,0.0,0.17162
0.993254,0.0,0.134641
0.993254,0.0,0.0939638
0.993254,0.0,0.0492192
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0115274,0.0653753
0.00800945,0.0218595,0.123971
0.0162716,0.0310917,0.17633
0.0261595,0.0393235,0.223015
0.0370249,0.0466527,0.264581
0.0483785,0.0531726,0.301557
0.0598573,0.0589699,0.334435
0.0711969,0.064124,0.363665
0.0822096,0.0687067,0.389655
0.0927669,0.0727825,0.41277
0.102786,0.0764091,0.433337
0.112217,0.0796375,0.451647
0.121037,0.0825131,0.467955
0.129241,0.0850761,0.48249
0.130284,0.0853618,0.484111
0.131483,0.0856284,0.485623
0.132826,0.0858733,0.487012
0.134301,0.0860942,0.488264
0.135894,0.0862889,0.489369
0.137589,0.0864557,0.490314
